,Input,Output
2751,"(22, 9, 1, 6)",1
2752,"(22, 9, 1, 7)",1
2753,"(22, 9, 1, 8)",1
2754,"(22, 9, 1, 9)",2
2755,"(22, 9, 1, 10)",2
2756,"(22, 9, 1, 11)",2
2757,"(22, 9, 1, 12)",2
2758,"(22, 9, 1, 13)",2
2759,"(22, 9, 1, 14)",2
2760,"(22, 9, 2, 5)",1
2761,"(22, 9, 2, 6)",1
2762,"(22, 9, 2, 7)",1
2763,"(22, 9, 2, 8)",1
2764,"(22, 9, 2, 9)",2
2765,"(22, 9, 2, 10)",2
2766,"(22, 9, 2, 11)",2
2767,"(22, 9, 2, 12)",2
2768,"(22, 9, 2, 13)",2
2769,"(22, 9, 2, 14)",2
2770,"(22, 9, 3, 5)",1
2771,"(22, 9, 3, 6)",1
2772,"(22, 9, 3, 7)",1
2773,"(22, 9, 3, 8)",1
2774,"(22, 9, 3, 9)",2
2775,"(22, 9, 3, 10)",2
2776,"(22, 9, 3, 11)",2
2777,"(22, 9, 3, 12)",2
2778,"(22, 9, 3, 13)",2
2779,"(22, 9, 3, 14)",2
2780,"(22, 9, 4, 5)",1
2781,"(22, 9, 4, 6)",1
2782,"(22, 9, 4, 7)",1
2783,"(22, 9, 4, 8)",1
2784,"(22, 9, 4, 9)",2
2785,"(22, 9, 4, 10)",2
2786,"(22, 9, 4, 11)",2
2787,"(22, 9, 4, 12)",2
2788,"(22, 9, 4, 13)",2
2789,"(22, 9, 4, 14)",2
2790,"(22, 9, 5, 5)",1
2791,"(22, 9, 5, 6)",1
2792,"(22, 9, 5, 7)",2
2793,"(22, 9, 5, 8)",2
2794,"(22, 9, 5, 9)",2
2795,"(22, 9, 5, 10)",2
2796,"(22, 9, 5, 11)",2
2797,"(22, 9, 5, 12)",2
2798,"(22, 9, 5, 13)",2
2799,"(22, 9, 5, 14)",2
2800,"(23, 1, 1, 5)",0
2801,"(23, 1, 1, 6)",0
2802,"(23, 1, 1, 7)",0
2803,"(23, 1, 1, 8)",2
2804,"(23, 1, 1, 9)",2
2805,"(23, 1, 1, 10)",2
2806,"(23, 1, 1, 11)",2
2807,"(23, 1, 1, 12)",1
2808,"(23, 1, 1, 13)",1
2809,"(23, 1, 1, 14)",1
2810,"(23, 1, 2, 5)",0
2811,"(23, 1, 2, 6)",0
2812,"(23, 1, 2, 7)",0
2813,"(23, 1, 2, 8)",2
2814,"(23, 1, 2, 9)",1
2815,"(23, 1, 2, 10)",1
2816,"(23, 1, 2, 11)",1
2817,"(23, 1, 2, 12)",1
2818,"(23, 1, 2, 13)",1
2819,"(23, 1, 2, 14)",1
2820,"(23, 1, 3, 5)",0
2821,"(23, 1, 3, 6)",0
2822,"(23, 1, 3, 7)",0
2823,"(23, 1, 3, 8)",0
2824,"(23, 1, 3, 9)",2
2825,"(23, 1, 3, 10)",2
2826,"(23, 1, 3, 11)",2
2827,"(23, 1, 3, 12)",2
2828,"(23, 1, 3, 13)",2
2829,"(23, 1, 3, 14)",2
2830,"(23, 1, 4, 5)",0
2831,"(23, 1, 4, 6)",0
2832,"(23, 1, 4, 7)",0
2833,"(23, 1, 4, 8)",2
2834,"(23, 1, 4, 9)",2
2835,"(23, 1, 4, 10)",2
2836,"(23, 1, 4, 11)",2
2837,"(23, 1, 4, 12)",2
2838,"(23, 1, 4, 13)",2
2839,"(23, 1, 4, 14)",2
2840,"(23, 1, 5, 5)",0
2841,"(23, 1, 5, 6)",0
2842,"(23, 1, 5, 7)",0
2843,"(23, 1, 5, 8)",2
2844,"(23, 1, 5, 9)",2
2845,"(23, 1, 5, 10)",2
2846,"(23, 1, 5, 11)",2
2847,"(23, 1, 5, 12)",2
2848,"(23, 1, 5, 13)",2
2849,"(23, 1, 5, 14)",2
2850,"(23, 2, 1, 5)",0
2851,"(23, 2, 1, 6)",0
2852,"(23, 2, 1, 7)",0
2853,"(23, 2, 1, 8)",2
2854,"(23, 2, 1, 9)",2
2855,"(23, 2, 1, 10)",2
2856,"(23, 2, 1, 11)",2
2857,"(23, 2, 1, 12)",2
2858,"(23, 2, 1, 13)",2
2859,"(23, 2, 1, 14)",2
2860,"(23, 2, 2, 5)",0
2861,"(23, 2, 2, 6)",0
2862,"(23, 2, 2, 7)",0
2863,"(23, 2, 2, 8)",2
2864,"(23, 2, 2, 9)",2
2865,"(23, 2, 2, 10)",2
2866,"(23, 2, 2, 11)",2
2867,"(23, 2, 2, 12)",2
2868,"(23, 2, 2, 13)",2
2869,"(23, 2, 2, 14)",2
2870,"(23, 2, 3, 5)",0
2871,"(23, 2, 3, 6)",0
2872,"(23, 2, 3, 7)",0
2873,"(23, 2, 3, 8)",2
2874,"(23, 2, 3, 9)",2
2875,"(23, 2, 3, 10)",2
2876,"(23, 2, 3, 11)",2
2877,"(23, 2, 3, 12)",2
2878,"(23, 2, 3, 13)",2
2879,"(23, 2, 3, 14)",2
2880,"(23, 2, 4, 5)",0
2881,"(23, 2, 4, 6)",0
2882,"(23, 2, 4, 7)",2
2883,"(23, 2, 4, 8)",2
2884,"(23, 2, 4, 9)",2
2885,"(23, 2, 4, 10)",2
2886,"(23, 2, 4, 11)",2
2887,"(23, 2, 4, 12)",2
2888,"(23, 2, 4, 13)",2
2889,"(23, 2, 4, 14)",2
2890,"(23, 2, 5, 5)",2
2891,"(23, 2, 5, 6)",2
2892,"(23, 2, 5, 7)",2
2893,"(23, 2, 5, 8)",2
2894,"(23, 2, 5, 9)",2
2895,"(23, 2, 5, 10)",2
2896,"(23, 2, 5, 11)",2
2897,"(23, 2, 5, 12)",2
2898,"(23, 2, 5, 13)",2
2899,"(23, 2, 5, 14)",2
2900,"(23, 3, 1, 5)",0
2901,"(23, 3, 1, 6)",0
2902,"(23, 3, 1, 7)",0
2903,"(23, 3, 1, 8)",2
2904,"(23, 3, 1, 9)",2
2905,"(23, 3, 1, 10)",2
2906,"(23, 3, 1, 11)",2
2907,"(23, 3, 1, 12)",2
2908,"(23, 3, 1, 13)",2
2909,"(23, 3, 1, 14)",2
2910,"(23, 3, 2, 5)",0
2911,"(23, 3, 2, 6)",0
2912,"(23, 3, 2, 7)",0
2913,"(23, 3, 2, 8)",2
2914,"(23, 3, 2, 9)",2
2915,"(23, 3, 2, 10)",2
2916,"(23, 3, 2, 11)",2
2917,"(23, 3, 2, 12)",2
2918,"(23, 3, 2, 13)",2
2919,"(23, 3, 2, 14)",2
2920,"(23, 3, 3, 5)",0
2921,"(23, 3, 3, 6)",0
2922,"(23, 3, 3, 7)",0
2923,"(23, 3, 3, 8)",2
2924,"(23, 3, 3, 9)",2
2925,"(23, 3, 3, 10)",2
2926,"(23, 3, 3, 11)",2
2927,"(23, 3, 3, 12)",2
2928,"(23, 3, 3, 13)",2
2929,"(23, 3, 3, 14)",2
2930,"(23, 3, 4, 5)",0
2931,"(23, 3, 4, 6)",0
2932,"(23, 3, 4, 7)",0
2933,"(23, 3, 4, 8)",2
2934,"(23, 3, 4, 9)",2
2935,"(23, 3, 4, 10)",2
2936,"(23, 3, 4, 11)",2
2937,"(23, 3, 4, 12)",2
2938,"(23, 3, 4, 13)",2
2939,"(23, 3, 4, 14)",2
2940,"(23, 3, 5, 5)",2
2941,"(23, 3, 5, 6)",2
2942,"(23, 3, 5, 7)",2
2943,"(23, 3, 5, 8)",2
2944,"(23, 3, 5, 9)",2
2945,"(23, 3, 5, 10)",2
2946,"(23, 3, 5, 11)",2
2947,"(23, 3, 5, 12)",2
2948,"(23, 3, 5, 13)",2
2949,"(23, 3, 5, 14)",2
2950,"(23, 4, 1, 5)",0
2951,"(23, 4, 1, 6)",0
2952,"(23, 4, 1, 7)",0
2953,"(23, 4, 1, 8)",2
2954,"(23, 4, 1, 9)",2
2955,"(23, 4, 1, 10)",2
2956,"(23, 4, 1, 11)",2
2957,"(23, 4, 1, 12)",2
2958,"(23, 4, 1, 13)",2
2959,"(23, 4, 1, 14)",2
2960,"(23, 4, 2, 5)",0
2961,"(23, 4, 2, 6)",0
2962,"(23, 4, 2, 7)",0
2963,"(23, 4, 2, 8)",2
2964,"(23, 4, 2, 9)",2
2965,"(23, 4, 2, 10)",2
2966,"(23, 4, 2, 11)",2
2967,"(23, 4, 2, 12)",2
2968,"(23, 4, 2, 13)",2
2969,"(23, 4, 2, 14)",2
2970,"(23, 4, 3, 5)",0
2971,"(23, 4, 3, 6)",0
2972,"(23, 4, 3, 7)",0
2973,"(23, 4, 3, 8)",2
2974,"(23, 4, 3, 9)",2
2975,"(23, 4, 3, 10)",2
2976,"(23, 4, 3, 11)",2
2977,"(23, 4, 3, 12)",2
2978,"(23, 4, 3, 13)",2
2979,"(23, 4, 3, 14)",2
2980,"(23, 4, 4, 5)",0
2981,"(23, 4, 4, 6)",0
2982,"(23, 4, 4, 7)",0
2983,"(23, 4, 4, 8)",2
2984,"(23, 4, 4, 9)",2
2985,"(23, 4, 4, 10)",2
2986,"(23, 4, 4, 11)",2
2987,"(23, 4, 4, 12)",2
2988,"(23, 4, 4, 13)",2
2989,"(23, 4, 4, 14)",2
2990,"(23, 4, 5, 5)",2
2991,"(23, 4, 5, 6)",0
2992,"(23, 4, 5, 7)",0
2993,"(23, 4, 5, 8)",1
2994,"(23, 4, 5, 9)",2
2995,"(23, 4, 5, 10)",2
2996,"(23, 4, 5, 11)",2
2997,"(23, 4, 5, 12)",2
2998,"(23, 4, 5, 13)",2
2999,"(23, 4, 5, 14)",2
3000,"(23, 5, 1, 5)",1
3001,"(23, 5, 1, 6)",2
3002,"(23, 5, 1, 7)",0
3003,"(23, 5, 1, 8)",2
3004,"(23, 5, 1, 9)",2
3005,"(23, 5, 1, 10)",2
3006,"(23, 5, 1, 11)",2
3007,"(23, 5, 1, 12)",2
3008,"(23, 5, 1, 13)",2
3009,"(23, 5, 1, 14)",2
3010,"(23, 5, 2, 5)",2
3011,"(23, 5, 2, 6)",2
3012,"(23, 5, 2, 7)",2
3013,"(23, 5, 2, 8)",2
3014,"(23, 5, 2, 9)",2
3015,"(23, 5, 2, 10)",2
3016,"(23, 5, 2, 11)",2
3017,"(23, 5, 2, 12)",2
3018,"(23, 5, 2, 13)",2
3019,"(23, 5, 2, 14)",2
3020,"(23, 5, 3, 5)",2
3021,"(23, 5, 3, 6)",2
3022,"(23, 5, 3, 7)",1
3023,"(23, 5, 3, 8)",2
3024,"(23, 5, 3, 9)",2
3025,"(23, 5, 3, 10)",2
3026,"(23, 5, 3, 11)",2
3027,"(23, 5, 3, 12)",2
3028,"(23, 5, 3, 13)",2
3029,"(23, 5, 3, 14)",2
3030,"(23, 5, 4, 5)",2
3031,"(23, 5, 4, 6)",2
3032,"(23, 5, 4, 7)",2
3033,"(23, 5, 4, 8)",2
3034,"(23, 5, 4, 9)",2
3035,"(23, 5, 4, 10)",2
3036,"(23, 5, 4, 11)",2
3037,"(23, 5, 4, 12)",2
3038,"(23, 5, 4, 13)",2
3039,"(23, 5, 4, 14)",2
3040,"(23, 5, 5, 5)",2
3041,"(23, 5, 5, 6)",2
3042,"(23, 5, 5, 7)",0
3043,"(23, 5, 5, 8)",1
3044,"(23, 5, 5, 9)",2
3045,"(23, 5, 5, 10)",2
3046,"(23, 5, 5, 11)",2
3047,"(23, 5, 5, 12)",2
3048,"(23, 5, 5, 13)",2
3049,"(23, 5, 5, 14)",2
3050,"(23, 6, 1, 5)",1
3051,"(23, 6, 1, 6)",2
3052,"(23, 6, 1, 7)",2
3053,"(23, 6, 1, 8)",2
3054,"(23, 6, 1, 9)",2
3055,"(23, 6, 1, 10)",2
3056,"(23, 6, 1, 11)",2
3057,"(23, 6, 1, 12)",2
3058,"(23, 6, 1, 13)",2
3059,"(23, 6, 1, 14)",2
3060,"(23, 6, 2, 5)",2
3061,"(23, 6, 2, 6)",2
3062,"(23, 6, 2, 7)",2
3063,"(23, 6, 2, 8)",2
3064,"(23, 6, 2, 9)",2
3065,"(23, 6, 2, 10)",2
3066,"(23, 6, 2, 11)",2
3067,"(23, 6, 2, 12)",2
3068,"(23, 6, 2, 13)",2
3069,"(23, 6, 2, 14)",2
3070,"(23, 6, 3, 5)",2
3071,"(23, 6, 3, 6)",2
3072,"(23, 6, 3, 7)",2
3073,"(23, 6, 3, 8)",2
3074,"(23, 6, 3, 9)",2
3075,"(23, 6, 3, 10)",2
3076,"(23, 6, 3, 11)",2
3077,"(23, 6, 3, 12)",2
3078,"(23, 6, 3, 13)",2
3079,"(23, 6, 3, 14)",2
3080,"(23, 6, 4, 5)",2
3081,"(23, 6, 4, 6)",2
3082,"(23, 6, 4, 7)",1
3083,"(23, 6, 4, 8)",1
3084,"(23, 6, 4, 9)",2
3085,"(23, 6, 4, 10)",2
3086,"(23, 6, 4, 11)",2
3087,"(23, 6, 4, 12)",2
3088,"(23, 6, 4, 13)",2
3089,"(23, 6, 4, 14)",2
3090,"(23, 6, 5, 5)",2
3091,"(23, 6, 5, 6)",1
3092,"(23, 6, 5, 7)",1
3093,"(23, 6, 5, 8)",2
3094,"(23, 6, 5, 9)",2
3095,"(23, 6, 5, 10)",2
3096,"(23, 6, 5, 11)",2
3097,"(23, 6, 5, 12)",2
3098,"(23, 6, 5, 13)",2
3099,"(23, 6, 5, 14)",2
3100,"(23, 9, 1, 5)",1
3101,"(23, 9, 1, 6)",1
3102,"(23, 9, 1, 7)",1
3103,"(23, 9, 1, 8)",1
3104,"(23, 9, 1, 9)",2
3105,"(23, 9, 1, 10)",2
3106,"(23, 9, 1, 11)",2
3107,"(23, 9, 1, 12)",2
3108,"(23, 9, 1, 13)",2
3109,"(23, 9, 1, 14)",2
3110,"(23, 9, 2, 5)",1
3111,"(23, 9, 2, 6)",1
3112,"(23, 9, 2, 7)",1
3113,"(23, 9, 2, 8)",1
3114,"(23, 9, 2, 9)",2
3115,"(23, 9, 2, 10)",2
3116,"(23, 9, 2, 11)",2
3117,"(23, 9, 2, 12)",2
3118,"(23, 9, 2, 13)",2
3119,"(23, 9, 2, 14)",2
3120,"(23, 9, 3, 5)",1
3121,"(23, 9, 3, 6)",1
3122,"(23, 9, 3, 7)",1
3123,"(23, 9, 3, 8)",1
3124,"(23, 9, 3, 9)",2
3125,"(23, 9, 3, 10)",2
3126,"(23, 9, 3, 11)",2
3127,"(23, 9, 3, 12)",2
3128,"(23, 9, 3, 13)",2
3129,"(23, 9, 3, 14)",2
3130,"(23, 9, 4, 5)",1
3131,"(23, 9, 4, 6)",1
3132,"(23, 9, 4, 7)",1
3133,"(23, 9, 4, 8)",1
3134,"(23, 9, 4, 9)",2
3135,"(23, 9, 4, 10)",2
3136,"(23, 9, 4, 11)",2
3137,"(23, 9, 4, 12)",2
3138,"(23, 9, 4, 13)",2
3139,"(23, 9, 4, 14)",2
3140,"(23, 9, 5, 5)",1
3141,"(23, 9, 5, 6)",1
3142,"(23, 9, 5, 7)",2
3143,"(23, 9, 5, 8)",2
3144,"(23, 9, 5, 9)",2
3145,"(23, 9, 5, 10)",2
3146,"(23, 9, 5, 11)",2
3147,"(23, 9, 5, 12)",2
3148,"(23, 9, 5, 13)",2
3149,"(23, 9, 5, 14)",2
3150,"(24, 1, 1, 5)",0
3151,"(24, 1, 1, 6)",0
3152,"(24, 1, 1, 7)",0
3153,"(24, 1, 1, 8)",0
3154,"(24, 1, 1, 9)",2
3155,"(24, 1, 1, 10)",2
3156,"(24, 1, 1, 11)",2
3157,"(24, 1, 1, 12)",1
3158,"(24, 1, 1, 13)",1
3159,"(24, 1, 1, 14)",1
3160,"(24, 1, 2, 5)",0
3161,"(24, 1, 2, 6)",0
3162,"(24, 1, 2, 7)",0
3163,"(24, 1, 2, 8)",0
3164,"(24, 1, 2, 9)",1
3165,"(24, 1, 2, 10)",1
3166,"(24, 1, 2, 11)",1
3167,"(24, 1, 2, 12)",1
3168,"(24, 1, 2, 13)",1
3169,"(24, 1, 2, 14)",1
3170,"(24, 1, 3, 5)",0
3171,"(24, 1, 3, 6)",0
3172,"(24, 1, 3, 7)",0
3173,"(24, 1, 3, 8)",0
3174,"(24, 1, 3, 9)",2
3175,"(24, 1, 3, 10)",2
3176,"(24, 1, 3, 11)",2
3177,"(24, 1, 3, 12)",2
3178,"(24, 1, 3, 13)",2
3179,"(24, 1, 3, 14)",2
3180,"(24, 1, 4, 5)",0
3181,"(24, 1, 4, 6)",0
3182,"(24, 1, 4, 7)",0
3183,"(24, 1, 4, 8)",0
3184,"(24, 1, 4, 9)",2
3185,"(24, 1, 4, 10)",2
3186,"(24, 1, 4, 11)",2
3187,"(24, 1, 4, 12)",2
3188,"(24, 1, 4, 13)",2
3189,"(24, 1, 4, 14)",2
3190,"(24, 1, 5, 5)",0
3191,"(24, 1, 5, 6)",0
3192,"(24, 1, 5, 7)",0
3193,"(24, 1, 5, 8)",0
3194,"(24, 1, 5, 9)",2
3195,"(24, 1, 5, 10)",2
3196,"(24, 1, 5, 11)",2
3197,"(24, 1, 5, 12)",2
3198,"(24, 1, 5, 13)",2
3199,"(24, 1, 5, 14)",2
3200,"(24, 2, 1, 5)",0
3201,"(24, 2, 1, 6)",0
3202,"(24, 2, 1, 7)",0
3203,"(24, 2, 1, 8)",2
3204,"(24, 2, 1, 9)",2
3205,"(24, 2, 1, 10)",2
3206,"(24, 2, 1, 11)",2
3207,"(24, 2, 1, 12)",2
3208,"(24, 2, 1, 13)",2
3209,"(24, 2, 1, 14)",2
3210,"(24, 2, 2, 5)",0
3211,"(24, 2, 2, 6)",0
3212,"(24, 2, 2, 7)",0
3213,"(24, 2, 2, 8)",2
3214,"(24, 2, 2, 9)",2
3215,"(24, 2, 2, 10)",2
3216,"(24, 2, 2, 11)",2
3217,"(24, 2, 2, 12)",2
3218,"(24, 2, 2, 13)",2
3219,"(24, 2, 2, 14)",2
3220,"(24, 2, 3, 5)",0
3221,"(24, 2, 3, 6)",0
3222,"(24, 2, 3, 7)",0
3223,"(24, 2, 3, 8)",0
3224,"(24, 2, 3, 9)",2
3225,"(24, 2, 3, 10)",2
3226,"(24, 2, 3, 11)",2
3227,"(24, 2, 3, 12)",2
3228,"(24, 2, 3, 13)",2
3229,"(24, 2, 3, 14)",2
3230,"(24, 2, 4, 5)",0
3231,"(24, 2, 4, 6)",0
3232,"(24, 2, 4, 7)",0
3233,"(24, 2, 4, 8)",2
3234,"(24, 2, 4, 9)",2
3235,"(24, 2, 4, 10)",2
3236,"(24, 2, 4, 11)",2
3237,"(24, 2, 4, 12)",2
3238,"(24, 2, 4, 13)",2
3239,"(24, 2, 4, 14)",2
3240,"(24, 2, 5, 5)",2
3241,"(24, 2, 5, 6)",2
3242,"(24, 2, 5, 7)",2
3243,"(24, 2, 5, 8)",2
3244,"(24, 2, 5, 9)",2
3245,"(24, 2, 5, 10)",2
3246,"(24, 2, 5, 11)",2
3247,"(24, 2, 5, 12)",2
3248,"(24, 2, 5, 13)",2
3249,"(24, 2, 5, 14)",2
3250,"(24, 3, 1, 5)",0
3251,"(24, 3, 1, 6)",0
3252,"(24, 3, 1, 7)",0
3253,"(24, 3, 1, 8)",2
3254,"(24, 3, 1, 9)",2
3255,"(24, 3, 1, 10)",2
3256,"(24, 3, 1, 11)",2
3257,"(24, 3, 1, 12)",2
3258,"(24, 3, 1, 13)",2
3259,"(24, 3, 1, 14)",2
3260,"(24, 3, 2, 5)",0
3261,"(24, 3, 2, 6)",0
3262,"(24, 3, 2, 7)",0
3263,"(24, 3, 2, 8)",2
3264,"(24, 3, 2, 9)",2
3265,"(24, 3, 2, 10)",2
3266,"(24, 3, 2, 11)",2
3267,"(24, 3, 2, 12)",2
3268,"(24, 3, 2, 13)",2
3269,"(24, 3, 2, 14)",2
3270,"(24, 3, 3, 5)",0
3271,"(24, 3, 3, 6)",0
3272,"(24, 3, 3, 7)",0
3273,"(24, 3, 3, 8)",2
3274,"(24, 3, 3, 9)",2
3275,"(24, 3, 3, 10)",2
3276,"(24, 3, 3, 11)",2
3277,"(24, 3, 3, 12)",2
3278,"(24, 3, 3, 13)",2
3279,"(24, 3, 3, 14)",2
3280,"(24, 3, 4, 5)",0
3281,"(24, 3, 4, 6)",0
3282,"(24, 3, 4, 7)",0
3283,"(24, 3, 4, 8)",2
3284,"(24, 3, 4, 9)",2
3285,"(24, 3, 4, 10)",2
3286,"(24, 3, 4, 11)",2
3287,"(24, 3, 4, 12)",2
3288,"(24, 3, 4, 13)",2
3289,"(24, 3, 4, 14)",2
3290,"(24, 3, 5, 5)",2
3291,"(24, 3, 5, 6)",2
3292,"(24, 3, 5, 7)",2
3293,"(24, 3, 5, 8)",2
3294,"(24, 3, 5, 9)",2
3295,"(24, 3, 5, 10)",2
3296,"(24, 3, 5, 11)",2
3297,"(24, 3, 5, 12)",2
3298,"(24, 3, 5, 13)",2
3299,"(24, 3, 5, 14)",2
3300,"(24, 4, 1, 5)",0
3301,"(24, 4, 1, 6)",0
3302,"(24, 4, 1, 7)",0
3303,"(24, 4, 1, 8)",2
3304,"(24, 4, 1, 9)",2
3305,"(24, 4, 1, 10)",2
3306,"(24, 4, 1, 11)",2
3307,"(24, 4, 1, 12)",2
3308,"(24, 4, 1, 13)",2
3309,"(24, 4, 1, 14)",2
3310,"(24, 4, 2, 5)",0
3311,"(24, 4, 2, 6)",0
3312,"(24, 4, 2, 7)",0
3313,"(24, 4, 2, 8)",2
3314,"(24, 4, 2, 9)",2
3315,"(24, 4, 2, 10)",2
3316,"(24, 4, 2, 11)",2
3317,"(24, 4, 2, 12)",2
3318,"(24, 4, 2, 13)",2
3319,"(24, 4, 2, 14)",2
3320,"(24, 4, 3, 5)",0
3321,"(24, 4, 3, 6)",0
3322,"(24, 4, 3, 7)",0
3323,"(24, 4, 3, 8)",2
3324,"(24, 4, 3, 9)",2
3325,"(24, 4, 3, 10)",2
3326,"(24, 4, 3, 11)",2
3327,"(24, 4, 3, 12)",2
3328,"(24, 4, 3, 13)",2
3329,"(24, 4, 3, 14)",2
3330,"(24, 4, 4, 5)",0
3331,"(24, 4, 4, 6)",0
3332,"(24, 4, 4, 7)",0
3333,"(24, 4, 4, 8)",2
3334,"(24, 4, 4, 9)",2
3335,"(24, 4, 4, 10)",2
3336,"(24, 4, 4, 11)",2
3337,"(24, 4, 4, 12)",2
3338,"(24, 4, 4, 13)",2
3339,"(24, 4, 4, 14)",2
3340,"(24, 4, 5, 5)",0
3341,"(24, 4, 5, 6)",0
3342,"(24, 4, 5, 7)",0
3343,"(24, 4, 5, 8)",0
3344,"(24, 4, 5, 9)",2
3345,"(24, 4, 5, 10)",2
3346,"(24, 4, 5, 11)",2
3347,"(24, 4, 5, 12)",2
3348,"(24, 4, 5, 13)",2
3349,"(24, 4, 5, 14)",2
3350,"(24, 5, 1, 5)",1
3351,"(24, 5, 1, 6)",0
3352,"(24, 5, 1, 7)",0
3353,"(24, 5, 1, 8)",2
3354,"(24, 5, 1, 9)",2
3355,"(24, 5, 1, 10)",2
3356,"(24, 5, 1, 11)",2
3357,"(24, 5, 1, 12)",2
3358,"(24, 5, 1, 13)",2
3359,"(24, 5, 1, 14)",2
3360,"(24, 5, 2, 5)",2
3361,"(24, 5, 2, 6)",2
3362,"(24, 5, 2, 7)",2
3363,"(24, 5, 2, 8)",2
3364,"(24, 5, 2, 9)",2
3365,"(24, 5, 2, 10)",2
3366,"(24, 5, 2, 11)",2
3367,"(24, 5, 2, 12)",2
3368,"(24, 5, 2, 13)",2
3369,"(24, 5, 2, 14)",2
3370,"(24, 5, 3, 5)",2
3371,"(24, 5, 3, 6)",2
3372,"(24, 5, 3, 7)",1
3373,"(24, 5, 3, 8)",2
3374,"(24, 5, 3, 9)",2
3375,"(24, 5, 3, 10)",2
3376,"(24, 5, 3, 11)",2
3377,"(24, 5, 3, 12)",2
3378,"(24, 5, 3, 13)",2
3379,"(24, 5, 3, 14)",2
3380,"(24, 5, 4, 5)",2
3381,"(24, 5, 4, 6)",2
3382,"(24, 5, 4, 7)",2
3383,"(24, 5, 4, 8)",2
3384,"(24, 5, 4, 9)",2
3385,"(24, 5, 4, 10)",2
3386,"(24, 5, 4, 11)",2
3387,"(24, 5, 4, 12)",2
3388,"(24, 5, 4, 13)",2
3389,"(24, 5, 4, 14)",2
3390,"(24, 5, 5, 5)",2
3391,"(24, 5, 5, 6)",2
3392,"(24, 5, 5, 7)",0
3393,"(24, 5, 5, 8)",1
3394,"(24, 5, 5, 9)",2
3395,"(24, 5, 5, 10)",2
3396,"(24, 5, 5, 11)",2
3397,"(24, 5, 5, 12)",2
3398,"(24, 5, 5, 13)",2
3399,"(24, 5, 5, 14)",2
3400,"(24, 6, 1, 5)",1
3401,"(24, 6, 1, 6)",2
3402,"(24, 6, 1, 7)",2
3403,"(24, 6, 1, 8)",2
3404,"(24, 6, 1, 9)",2
3405,"(24, 6, 1, 10)",2
3406,"(24, 6, 1, 11)",2
3407,"(24, 6, 1, 12)",2
3408,"(24, 6, 1, 13)",2
3409,"(24, 6, 1, 14)",2
3410,"(24, 6, 2, 5)",2
3411,"(24, 6, 2, 6)",2
3412,"(24, 6, 2, 7)",2
3413,"(24, 6, 2, 8)",2
3414,"(24, 6, 2, 9)",2
3415,"(24, 6, 2, 10)",2
3416,"(24, 6, 2, 11)",2
3417,"(24, 6, 2, 12)",2
3418,"(24, 6, 2, 13)",2
3419,"(24, 6, 2, 14)",2
3420,"(24, 6, 3, 5)",2
3421,"(24, 6, 3, 6)",2
3422,"(24, 6, 3, 7)",2
3423,"(24, 6, 3, 8)",2
3424,"(24, 6, 3, 9)",2
3425,"(24, 6, 3, 10)",1
3426,"(24, 6, 3, 11)",2
3427,"(24, 6, 3, 12)",2
3428,"(24, 6, 3, 13)",2
3429,"(24, 6, 3, 14)",2
3430,"(24, 6, 4, 5)",2
3431,"(24, 6, 4, 6)",2
3432,"(24, 6, 4, 7)",1
3433,"(24, 6, 4, 8)",1
3434,"(24, 6, 4, 9)",2
3435,"(24, 6, 4, 10)",2
3436,"(24, 6, 4, 11)",2
3437,"(24, 6, 4, 12)",2
3438,"(24, 6, 4, 13)",2
3439,"(24, 6, 4, 14)",2
3440,"(24, 6, 5, 5)",2
3441,"(24, 6, 5, 6)",1
3442,"(24, 6, 5, 7)",2
3443,"(24, 6, 5, 8)",2
3444,"(24, 6, 5, 9)",2
3445,"(24, 6, 5, 10)",2
3446,"(24, 6, 5, 11)",2
3447,"(24, 6, 5, 12)",2
3448,"(24, 6, 5, 13)",2
3449,"(24, 6, 5, 14)",2
3450,"(24, 9, 1, 5)",1
3451,"(24, 9, 1, 6)",1
3452,"(24, 9, 1, 7)",1
3453,"(24, 9, 1, 8)",1
3454,"(24, 9, 1, 9)",2
3455,"(24, 9, 1, 10)",2
3456,"(24, 9, 1, 11)",2
3457,"(24, 9, 1, 12)",2
3458,"(24, 9, 1, 13)",2
3459,"(24, 9, 1, 14)",2
3460,"(24, 9, 2, 5)",1
3461,"(24, 9, 2, 6)",1
3462,"(24, 9, 2, 7)",1
3463,"(24, 9, 2, 8)",1
3464,"(24, 9, 2, 9)",2
3465,"(24, 9, 2, 10)",2
3466,"(24, 9, 2, 11)",2
3467,"(24, 9, 2, 12)",2
3468,"(24, 9, 2, 13)",2
3469,"(24, 9, 2, 14)",2
3470,"(24, 9, 3, 5)",1
3471,"(24, 9, 3, 6)",1
3472,"(24, 9, 3, 7)",1
3473,"(24, 9, 3, 8)",1
3474,"(24, 9, 3, 9)",2
3475,"(24, 9, 3, 10)",2
3476,"(24, 9, 3, 11)",2
3477,"(24, 9, 3, 12)",2
3478,"(24, 9, 3, 13)",2
3479,"(24, 9, 3, 14)",2
3480,"(24, 9, 4, 5)",1
3481,"(24, 9, 4, 6)",1
3482,"(24, 9, 4, 7)",1
3483,"(24, 9, 4, 8)",1
3484,"(24, 9, 4, 9)",2
3485,"(24, 9, 4, 10)",2
3486,"(24, 9, 4, 11)",2
